Provinsi;Stasiun BMKG;Kecepatan Angin (m/det) tahun 2011;Kelembaban tahun 2011;Kecepatan Angin (m/det) tahun 2012;Kelembaban tahun 2012;Kecepatan Angin (m/det) tahun 2013;Kelembaban tahun 2013
Aceh;Sultan Iskandar Muda;4.9;79.4;4.8;79.6;5.2;80.7
Sumatera Utara;Kualanamu1;1.8;79;0.6;76;1.99;78.67
Sumatera Barat;Sicincin;0.5;54.2;0.3;87;1.06;86.91
Riau;Sultan Syarif Kasim II;5.4;74.5;5.9;76.1;;76
Jambi;Sultan Thaha2;5.5;82.5;5.1;81.4;2.45;83.42
Sumatera Selatan;Kenten;2.7;84.8;3;83;3.6;84
Bengkulu;Pulau Baai;;;2;82;3.57;83.93
Lampung;Radin Inten II;4;77.8;4.2;79.2;1.5;81
Kepulauan Bangka Belitung;Depati Amir;3.4;81.5;3;82;5.67;83.58
Kepulauan Riau;Kijang;6.8;85.7;6.9;85.3;7;85
DKI Jakarta;Kemayoran3;2.4;74.3;4.7;73.9;3.92;77.43
Jawa Barat;Bandung;3;76;3.2;75.8;3;77
Jawa Tengah;Semarang;10.3;75;10.2;75;10.3;78.18
DI Yogyakarta;Yogyakarta;1;78.4;0.6;80.3;4.3;86.2
Jawa Timur;Juanda;7.2;71.5;13.3;;19.25;79.19
Banten;Serang;2.4;81;2.3;81;2.3;81
Bali;Ngurah Rai;6;82;6;81;6.1;80
Nusa Tenggara Barat;Bandara Int, Lombok;7;80.1;6;81.3;;80
Nusa Tenggara Timur;Lasiana;8.8;75.2;3.1;73.8;3.68;74.9
Kalimantan Barat;Supadio;2.9;84.8;2;83.3;12.12;85.17
Kalimantan Tengah;Tjilik Riwut;;;3;84.3;1.5;84.6
Kalimantan Selatan;Banjarbaru;5.3;81.8;3.8;83.9;3;84.3
Kalimantan Timur;Temindung;3.3;82.2;3.4;81.4;3.42;82.83
Kalimantan Utara;Tanjung Harapan;;;;;2.6;84
Sulawesi Utara;Kayuwatu;4.5;84.5;2.9;84;4.46;84.4
Sulawesi Tengah;Mutiara SIS Al-Jufrie;1.8;76.1;3.8;76;3.58;76.5
Sulawesi Selatan;Maros4;4;81;3.9;83.4;3.92;83.67
Sulawesi Tenggara;Kendari;2;84;;;5.85;76.5
Gorontalo;Djalaluddin;0.9;83.3;1.3;82.7;1.33;82.67
Sulawesi Barat;Majene;3.6;78.9;4.5;79.1;4.17;80.58
Maluku;Pattimura;4.2;85.4;4.5;85.5;;
Maluku Utara;Sultan Babullah;4.9;82.4;;;4.5;84
Papua Barat;Rendani;3.7;85.8;3.7;83.7;2.48;83
Papua;Angkasapura;2.7;85;3.1;81.8;5.9;80.6
