;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
3492;3493;143.0;0.0;UK;200000000.0;304360277.0;522048;1498.0;750.0;80000;0.0;883.0;563.0;393.0;2039;7.8;Good
1975;1976;99.0;1.0;USA;25000000.0;11100000.0;92464;331.0;180.0;19000;0.0;400.0;223.0;52.0;896;7.3;Good
3666;3667;105.0;9.0;USA;;531806.0;548;6.0;9.0;277;12.0;25.0;11.0;10.0;72;3.4;Bad
4528;4529;89.0;1.0;USA;1000000.0;;20678;199.0;87.0;0;136.0;844.0;184.0;42.0;1080;6.7;Good
4319;4320;92.0;0.0;Canada;100000.0;;40380;235.0;116.0;0;6.0;253.0;113.0;103.0;762;6.1;Good
4258;4259;137.0;3.0;Germany;2000000.0;11284657.0;259379;407.0;215.0;39000;207.0;380.0;284.0;155.0;927;8.5;Excellent
1355;1356;105.0;0.0;USA;57000000.0;16991902.0;34592;191.0;107.0;0;65.0;628.0;316.0;108.0;1265;6.2;Good
1990;1991;95.0;3.0;USA;25000000.0;5654777.0;4875;26.0;31.0;206;32.0;843.0;593.0;324.0;2165;4.1;Fair
4194;4195;89.0;3.0;USA;2500000.0;3325638.0;52509;84.0;252.0;13000;14.0;902.0;291.0;215.0;1980;7.1;Good
412;413;139.0;2.0;USA;85000000.0;150832203.0;341058;713.0;459.0;49000;168.0;14000.0;5000.0;1000.0;22226;6.7;Good
2270;2271;117.0;1.0;USA;20000000.0;13987482.0;58957;91.0;151.0;0;20.0;11000.0;904.0;783.0;15713;6.0;Fair
4868;4869;58.0;1.0;UK;;;12848;59.0;11.0;10000;;887.0;340.0;250.0;2572;8.5;Excellent
4599;4600;89.0;1.0;USA;1000000.0;;397;6.0;3.0;143;32.0;386.0;261.0;256.0;1647;6.3;Good
492;493;114.0;0.0;USA;80000000.0;32885565.0;53132;101.0;61.0;0;357.0;13000.0;10000.0;366.0;25126;5.8;Fair
244;245;101.0;0.0;USA;125000000.0;190871240.0;167085;491.0;348.0;62000;473.0;833.0;809.0;429.0;2690;5.9;Fair
3684;3685;157.0;0.0;India;;2197331.0;70233;321.0;33.0;0;85.0;397.0;227.0;199.0;1519;8.4;Excellent
3258;3259;144.0;0.0;USA;9600000.0;2483955.0;8369;165.0;52.0;957;0.0;786.0;228.0;195.0;1674;6.7;Good
634;635;125.0;0.0;USA;68000000.0;81257500.0;117739;229.0;280.0;30000;3000.0;14000.0;11000.0;3000.0;30010;6.4;Good
1236;1237;130.0;1.0;UK;30000000.0;51185897.0;69457;271.0;105.0;0;46.0;387.0;244.0;162.0;1233;6.7;Good
109;110;113.0;4.0;USA;155000000.0;104383624.0;106446;227.0;228.0;11000;150.0;531.0;82.0;59.0;764;6.3;Good
1884;1885;122.0;0.0;USA;25000000.0;74273505.0;612060;1518.0;488.0;21000;1000.0;2000.0;939.0;883.0;4738;8.1;Excellent
